index;Date;FIP;Meat;Dairy;Cereals;Oils;Sugar;Year;Month;Quarter;Decade;FIP_lag_1;FIP_lag_2;FIP_lag_3;FIP_lag_6;FIP_lag_12;FIP_MA3;FIP_MA6;FIP_MA12;Month_sin;Month_cos
3;1990-01-01;64.4;74.3;53.5;64.1;44.59;87.9;1990;1;1;1990;;;;;;;;;0.49999999999999994;0.8660254037844387
4;1990-02-01;64.7;76.8;52.2;62.2;44.5;90.7;1990;2;1;1990;64.4;;;;;;;;0.8660254037844386;0.5000000000000001
5;1990-03-01;64.0;78.5;41.4;61.3;45.75;95.1;1990;3;1;1990;64.7;64.4;;;;64.36666666666667;;;1.0;6.123233995736766e-17
6;1990-04-01;66.0;81.2;48.4;62.8;44.02;94.3;1990;4;2;1990;64.0;64.7;64.4;;;64.89999999999999;;;0.8660254037844387;-0.4999999999999998
7;1990-05-01;64.6;81.8;39.2;62.0;45.5;90.4;1990;5;2;1990;66.0;64.0;64.7;;;64.86666666666667;;;0.49999999999999994;-0.8660254037844387
8;1990-06-01;64.1;84.2;39.2;60.7;43.8;80.3;1990;6;2;1990;64.6;66.0;64.0;;;64.89999999999999;64.63333333333334;;1.2246467991473532e-16;-1.0
9;1990-07-01;62.9;84.5;39.2;57.9;43.72;74.2;1990;7;3;1990;64.1;64.6;66.0;64.4;;63.86666666666667;64.38333333333333;;-0.4999999999999997;-0.8660254037844388
10;1990-08-01;61.8;84.5;36.8;55.7;45.37;67.6;1990;8;3;1990;62.9;64.1;64.6;64.7;;62.93333333333333;63.9;;-0.8660254037844384;-0.5000000000000004
11;1990-09-01;61.3;85.5;38.1;52.5;44.79;68.5;1990;9;3;1990;61.8;62.9;64.1;64.0;;62.0;63.449999999999996;;-1.0;-1.8369701987210297e-16
12;1990-10-01;61.4;86.2;38.9;52.8;45.72;60.8;1990;10;4;1990;61.3;61.8;62.9;66.0;;61.5;62.68333333333333;;-0.8660254037844386;0.5000000000000001
